ACTUAL-CLASS	PREDICTED-CLASS	TEXT	FEATURE-VECTOR
NEGATIVE	NEUTRAL	I just have the annoying 16s left	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 8=2.0, 9=2.0, 10=1.0, 11=2.514324070049572, 12=5.0, 13=0.6327349152989983, 14=0.23930852731944302, 16=4.0, 17=2.0, 18=2.803580358035804, 19=6.0, 21=0.41214121412141214, 24=1.0, 26=1.0, 28=0.0, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 704=0.6523823291241169, 923=0.75789002938856}	
NEGATIVE	POSITIVE	he sympathy trolling LUL	{1=2.0, 4=1.5, 5=2.0, 6=0.8, 8=3.0, 9=2.0, 11=3.2876587971852533, 12=5.0, 13=0.9270894656051761, 15=2.0, 16=3.0, 17=1.0, 18=3.154015401540154, 19=6.0, 20=0.6082608260826083, 21=0.4309430943094309, 22=1.0, 25=1.0, 26=1.0, 27=1.0, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 50=1.0, 53=0.8, 54=1.0, 55=0.8, 168=0.6633177347981527, 169=0.7483378800396566}	
NEGATIVE	POSITIVE	Show alarm BabyRage	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 8=1.0, 10=1.0, 11=0.9971995576511498, 12=2.0, 13=0.63959022210974, 14=0.3576093355414097, 16=1.0, 17=1.0, 18=0.9286928692869287, 19=2.0, 21=0.4146414641464147, 24=1.0, 26=1.0, 28=0.0, 30=1.0, 31=1.0, 32=0.5, 33=2.0, 35=0.0, 45=1.0, 46=0.25, 47=1.0, 49=0.25, 52=1.0, 53=0.2, 54=1.0, 56=0.2, 422=0.6863271178455861, 674=0.7272929858796735}	
NEGATIVE	NEUTRAL	WHAT A FREAKING BAD IDEA NotLikeThus	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 8=1.0, 9=1.0, 10=1.0, 11=1.6058473676392109, 12=3.0, 13=0.7964204954967348, 14=0.27229212630050015, 16=3.0, 17=2.0, 18=2.3455345534553453, 19=5.0, 21=0.37023702370237027, 24=2.0, 26=2.0, 28=0.0, 30=1.0, 31=1.0, 32=0.5, 33=2.0, 35=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 249=0.4779567100563448, 872=0.5919566542250239, 1010=0.6489566263093633}	
NEGATIVE	NEUTRAL	*** caster	{9=1.0, 11=0.5144231033742855, 12=1.0, 609=1.0}	
NEGATIVE	POSITIVE	Rofl, he hits like a fucking truck	{1=2.0, 3=1.0, 4=1.4, 5=3.0, 6=0.7, 7=0.1, 8=2.0, 9=6.0, 10=1.0, 11=5.017347337379029, 12=9.0, 13=0.8500525426806121, 14=0.4405497449891889, 15=1.0, 16=7.0, 17=3.0, 18=5.422142214221423, 19=11.0, 20=0.592959295929593, 21=0.41714171417141716, 22=1.0, 24=1.0, 25=1.0, 26=2.0, 27=1.0, 28=0.0, 29=1.0, 30=1.0, 32=1.5, 33=2.0, 34=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 70=0.4547906534796733, 154=0.3544208863030128, 1349=0.5506150946815733, 1520=0.6036342554631245}	
NEGATIVE	NEUTRAL	is it just me or does vol seem low	{8=2.0, 9=3.0, 10=1.0, 11=3.163504019102428, 12=6.0, 13=0.6134344206825597, 14=0.4304758551252497, 16=7.0, 17=2.0, 18=4.374437443744375, 19=9.0, 21=0.4274427442744275, 29=1.0, 30=1.0, 31=1.0, 32=1.5, 33=3.0, 34=1.0, 35=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 597=1.0}	
NEGATIVE	NEUTRAL	@phonecats do you think all the hours you spend streaming is preventing you from finding your soulmate? :(	{3=1.0, 4=0.4, 5=1.0, 7=0.4, 8=4.0, 9=3.0, 11=4.07081983087309, 12=7.0, 13=0.7455448758507238, 15=5.0, 16=9.0, 17=2.0, 18=8.104610461046104, 19=16.0, 20=0.5804580458045805, 21=0.37763776377637764, 30=1.0, 32=0.5, 33=1.0, 38=1.0, 40=1.0, 42=0.0, 45=1.0, 47=1.0, 49=0.0, 50=1.0, 53=0.9, 54=1.0, 55=0.9, 649=0.6739160366960442, 1437=0.738807942217662}	
NEGATIVE	POSITIVE	short stream FeelsBadMan	{8=2.0, 11=1.3824061796794622, 12=2.0, 13=0.7757940546994064, 16=2.0, 18=0.958995899589959, 19=2.0, 61=0.7530133601225611, 135=0.6580052275452908}	
NEGATIVE	NEUTRAL	twitch hoe	{9=1.0, 10=1.0, 11=0.8995031828210194, 12=2.0, 14=0.4126388529740258, 16=1.0, 17=1.0, 18=0.9679967996799681, 19=2.0, 21=0.44614461446144615, 52=1.0, 53=0.4, 54=1.0, 56=0.4, 659=1.0}	
NEGATIVE	NEUTRAL	I go to Poland 2 times every year. During the winter, it's cold as fuck. During summer, it's hot as fuck.	{3=2.0, 4=0.2, 5=2.0, 7=0.1, 8=7.0, 9=11.0, 10=1.0, 11=10.63767007598057, 12=19.0, 13=0.8583163234428385, 14=0.42088612818213333, 15=1.0, 16=19.0, 17=3.0, 18=11.063706370637062, 19=23.0, 20=0.5514551455145514, 21=0.39833983398339834, 22=1.0, 24=3.0, 25=1.0, 26=4.0, 27=1.0, 28=0.0, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 52=3.0, 53=0.7, 54=3.0, 56=0.2, 98=0.6619113478647184, 184=0.42625871923758535, 188=0.4673035067635528, 189=0.402249057684827}	
NEGATIVE	POSITIVE	Feed Gank classic	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 8=2.0, 10=1.0, 11=1.5543115258284415, 12=3.0, 13=0.7826493615101482, 14=0.07565045637857143, 15=1.0, 16=1.0, 17=1.0, 18=1.518951895189519, 19=3.0, 20=0.6054605460546054, 21=0.43284328432843283, 22=1.0, 24=1.0, 25=1.0, 26=2.0, 27=1.0, 28=0.0, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 1340=1.0}	
NEGATIVE	NEUTRAL	@Nonoobspleasy Why arty suck? I killed 2 kv-8 in one time with it	{3=2.0, 4=0.4, 5=2.0, 7=0.2, 8=3.0, 9=7.0, 10=1.0, 11=5.926935413766734, 12=11.0, 13=0.7276528551857702, 14=0.33697189104133546, 16=9.0, 17=3.0, 18=5.635263526352636, 19=12.0, 21=0.3714371437143714, 24=2.0, 26=2.0, 28=0.0, 52=2.0, 53=0.4, 54=2.0, 56=0.1, 336=0.6140721778748566, 348=0.4958131913534182, 408=0.6140721778748566}	
NEGATIVE	NEUTRAL	OMG	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 8=1.0, 9=1.0, 11=1.1526598700462707, 12=2.0, 13=0.6382367666719851, 16=3.0, 18=1.4561456145614562, 19=3.0, 30=1.0, 32=0.5, 33=1.0, 111=0.7117658781211471, 175=0.7024167813644776}	
NEGATIVE	NEUTRAL	MIC MUTED	{9=1.0, 10=1.0, 11=0.8555378884994801, 12=2.0, 14=0.3259626864439884, 16=1.0, 17=1.0, 18=0.9414941494149416, 19=2.0, 21=0.42384238423842385, 627=1.0}	
NEGATIVE	POSITIVE	Slark is noob	{8=1.0, 9=2.0, 11=1.9118933521129864, 12=3.0, 13=0.8830471453644152, 15=1.0, 16=3.0, 17=1.0, 18=2.5126512651265127, 19=5.0, 20=0.5600560056005601, 21=0.4460446044604461}	
NEGATIVE	POSITIVE	WutFace Zeta's mods	{8=1.0, 9=2.0, 11=1.618963781312412, 12=3.0, 13=0.5901175745638408, 16=2.0, 18=0.9718971897189719, 19=2.0, 45=1.0, 47=1.0, 49=0.0, 131=0.6849144328587659, 273=0.7286235102312818}	
NEGATIVE	NEUTRAL	*** casters	{598=1.0}	
NEGATIVE	NEUTRAL	Just a *** load of balls	{8=1.0, 9=1.0, 10=1.0, 11=1.5865523748741452, 12=3.0, 13=0.6134344206825597, 14=0.4359832083496097, 16=4.0, 17=1.0, 18=2.396639663966397, 19=5.0, 21=0.414941494149415, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 1408=1.0}	
NEGATIVE	NEUTRAL	report trynd please	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 8=1.0, 9=1.0, 11=1.1349989271389824, 12=2.0, 13=0.6522389784162372, 16=2.0, 18=0.9778977897789779, 19=2.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 371=1.0}	
NEGATIVE	POSITIVE	:<	{45=1.0, 47=1.0, 49=0.0}	
NEGATIVE	POSITIVE	Oh no its Hansmeiser guys WutFace	{3=1.0, 4=0.4, 5=1.0, 7=0.4, 9=1.0, 10=1.0, 11=0.8261965151273405, 12=2.0, 14=0.3117734117530549, 16=3.0, 17=1.0, 18=1.9132913291329134, 19=4.0, 21=0.4173417341734174, 30=1.0, 32=0.5, 33=1.0, 45=1.0, 47=1.0, 49=0.0, 131=0.5781335587689825, 134=0.615028217779756, 175=0.5361920174338369}	
NEGATIVE	POSITIVE	bleedPurple bleedPurple bleedPurple bleedPurple bleedPurple bleedPurple bleedPurple	{45=7.0, 47=7.0, 49=0.0}	
NEGATIVE	NEUTRAL	Who tf is in the discussion besides cdew gorecki and sterge? @Cdewx	{8=1.0, 9=3.0, 11=2.220046545662616, 12=4.0, 13=0.6767772355397592, 15=1.0, 16=7.0, 18=4.15031503150315, 19=8.0, 20=0.5741574157415742, 30=1.0, 32=0.5, 33=1.0}	
NEGATIVE	NEUTRAL	It can't be much worse then your English Kappa	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 8=5.0, 9=4.0, 11=5.321511688683243, 12=9.0, 13=0.7083688661234506, 15=1.0, 16=8.0, 17=1.0, 18=4.9828982898289835, 19=10.0, 20=0.5804580458045805, 21=0.3582358235823583, 24=1.0, 26=1.0, 28=0.0, 30=1.0, 31=1.0, 32=0.5, 33=2.0, 35=0.0, 43=1.0, 46=0.625, 47=1.0, 48=0.625, 52=1.0, 53=0.2, 54=1.0, 56=0.2, 71=0.49455465942172483, 612=0.8691465289836127, 1693=1.0}	
NEGATIVE	NEUTRAL	whos the douche bag i truck	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 9=3.0, 10=1.0, 11=1.7977354379748787, 12=4.0, 14=0.2255594007383485, 16=4.0, 17=2.0, 18=2.8860886088608866, 19=6.0, 21=0.4393439343934394}	
NEGATIVE	POSITIVE	*** ur Mother kezzu SeemsGood	{8=1.0, 11=0.8624537156753247, 12=1.0, 13=0.8624537156753247, 15=1.0, 16=1.0, 18=1.0729072907290729, 19=2.0, 20=0.5804580458045805, 43=1.0, 46=0.75, 47=1.0, 48=0.75, 333=1.0}	
NEGATIVE	POSITIVE	LOL Reno decks FailFish Look at all that synergy	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 8=3.0, 9=4.0, 10=1.0, 11=4.349582134388222, 12=8.0, 13=0.645125084590965, 14=0.4405497449891889, 15=3.0, 16=6.0, 18=4.670667066706671, 19=9.0, 20=0.592959295929593, 24=1.0, 26=1.0, 28=0.0, 30=1.0, 32=0.5, 33=1.0, 45=1.0, 47=1.0, 49=0.0, 154=0.3457383901084115, 155=0.36531512986558484, 448=0.4248970908261727, 558=0.4687557565437802, 610=0.5888466051622088}	
NEGATIVE	NEUTRAL	so cold hearted she can out bachelor herself Kappa	{8=3.0, 9=2.0, 10=1.0, 11=3.356167850481687, 12=6.0, 13=0.7083688661234506, 14=0.42088612818213333, 16=8.0, 17=1.0, 18=4.36953695369537, 19=9.0, 21=0.39833983398339834, 24=1.0, 26=1.0, 28=0.0, 30=1.0, 31=1.0, 32=0.5, 33=2.0, 35=0.0, 43=1.0, 46=0.625, 47=1.0, 48=0.625, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 71=0.5292680762075317, 184=0.8484546561293528, 1693=1.0}	
NEGATIVE	POSITIVE	cmonBruh	{45=1.0, 47=1.0, 49=0.0, 938=1.0}	
NEGATIVE	NEUTRAL	its a feeding frenzy out there	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 9=4.0, 10=1.0, 11=2.48475712077114, 12=5.0, 14=0.40435306480630734, 16=6.0, 18=3.0290029002900294, 19=6.0, 24=1.0, 26=1.0, 28=0.0, 31=1.0, 33=1.0, 35=0.0, 1681=1.0}	
NEGATIVE	POSITIVE	if you can read this your dick is small	{8=4.0, 11=2.635452829877254, 12=4.0, 13=0.7524001826614656, 15=2.0, 16=7.0, 18=4.711071107110712, 19=9.0, 20=0.5804580458045805, 677=1.0}	
NEGATIVE	NEUTRAL	Major lag	{3=1.0, 4=0.4, 5=1.0, 7=0.4, 8=1.0, 10=1.0, 11=0.9490418525833944, 12=2.0, 13=0.5859691786286085, 14=0.3630726739547858, 16=1.0, 17=1.0, 18=0.8933893389338934, 19=2.0, 21=0.42754275427542754, 24=1.0, 26=1.0, 28=0.0, 30=1.0, 31=1.0, 32=0.5, 33=2.0, 35=0.0, 81=1.0}	
